Catalogo de estaciones,,,,,,
cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station
ACO,Acolman,-98.912003,19.635501,2198,,484150020109
AJU,Ajusco,-99.162611,19.154286,2942,,484090120400
AJM,Ajusco Medio,-99.207744,19.272161,2548,,484090120609
ATI,Atizapan,-99.254133,19.576963,2341,,484150130101
BJU,Benito Ju�rez,-99.159596,19.370464,2249,Finaliz� operaci�n en 2005,484090140201
CAM,Camarones,-99.169794,19.468404,2233,,484090020301
CCA,Centro de Ciencias de la Atm�sfera,-99.176111,19.326111,2294,,484090030501
CHO,Chalco,-98.886088,19.266948,2253,,484150250109
COY,Coyoac�n,-99.157101,19.350258,2260,,484090030303
CUA,Cuajimalpa,-99.291705,19.365313,2704,,484090040109
CUT,Cuautitl�n,-99.198602,19.722186,2263,,484150950109
FAC,FES Acatl�n,-99.243524,19.482473,2299,,484150570109
GAM,Gustavo A. Madero,-99.094517,19.4827,2227,,484090050809
HGM,Hospital General de M�xico,-99.152207,19.411617,2234,,484090150409
INN,Investigaciones Nucleares,-99.38052,19.291968,3082,,484150620109
IZT,Iztacalco,-99.117641,19.384413,2238,,484090060101
LLA,Los Laureles,-99.039644,19.578792,2230,,484150330201
LPR,La Presa,-99.11772,19.534727,2302,,484151040203
MER,Merced,-99.119594,19.42461,2245,,484090170127
MGH,Mguel Hidalgo,-99.20266,19.40405,2327,,484090160609
MON,Montecillo,-98.902853,19.460415,2252,,484150990113
MPA,Milpa Alta,-98.990189,19.1769,2594,,484090090104
NEZ,Nezahualc�yotl,-99.028212,19.393734,2235,,484150580115
PED,Pedregal,-99.204136,19.325146,2326,,484090100127
SAG,San Agust�n,-99.030324,19.532968,2241,,484150330327
SFE,Santa fe,-99.262865,19.357357,2599,,484090040309
SJA,San Juan Arag�n,-99.086095,19.452592,2258,,484090050701
TAH,Tlahuac,-99.010564,19.246459,2297,,484090130309
TLA,Tlalnepantla,-99.204597,19.529077,2311,,484151040115
TLI,Tultitl�n,-99.177173,19.602542,2313,,484151090101
UAX,UAM Xochimilco,-99.103629,19.304441,2246,,484090030401
UIZ,UAM Iztapalapa,-99.07388,19.360794,2221,,484090070219
VIF,Villa de las Flores,-99.09659,19.658223,2242,,484150200109
XAL,Xalostoc,-99.0824,19.525995,2160,,484150330415
